accountname,transactionstring1,ipaddress,deviceaction,deviceinboundinterface,sourceaddress,sourceport,deviceaddress,devicehostname,resourcegroupid,resourcegroupname,devicecustomstring1,devicedirection,devicefacility,resourcename,resourcetype,destinationaddress,destinationport,transportprotocol,customnumber1,customnumber10,customnumber6,customstring55,customstring74,invalid,categorybehavior,categoryobject,categoryoutcome,categoryseverity,customstring15,customstring57,customstring6,customstring63,customstring67,customstring68,customstring69,freq,transactionstring4,eventcity,eventcountry,eventlatitude,eventlongitude,eventregion,category,policyid,policyname,riskthreatname,violator,criticality,tenantname,SiemId,eventid,formatteddate,generationtime,publishedtime,receivedtime,risktypeid,indexedat,rawevent,week,month,hour,year,dayofweek,categorizedtime,dayofyear,dayofmonth,eventtime
"UNKNOWN","Checkpoint Next Generation Firewall Event","162.243.147.25","Accept","eth5","162.243.147.25","54903","10.83.152.36","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.52","465","TCP","2","65536","6","geo_protection","HISYSMC-FW2","false","Connection Request","Network","Success","0","","","","","","","","","","San Francisco","United States","37.7308","-122.3838","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1fc,0x4,0x898530a,0x3fffcb4a}","15860fe9-1735-4d55-82c7-29bd2f59b493","","2024-03-04 00:04:31","2024-03-04 00:01:00","2024-03-04 00:01:02","3588","2024-03-04 00:06:01","Mar  4 00:00:23 10.83.152.8 1 2024-03-03T18:29:35Z chkmgmt-hisysmc CheckPoint 52042 - [action:""Accept""; flags:""393216""; ifdir:""inbound""; ifname:""eth5""; logid:""65536""; loguid:""{0x65e4c1fc,0x4,0x898530a,0x3fffcb4a}""; origin:""10.83.152.36""; originsicname:""CN=HISYSMC-FW2,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""2""; time:""1709490575""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.52""; dst_country:""IND""; inspection_information:""Geo-location inbound enforcement""; inspection_profile:""Geo_settings_upgraded_from_Recommended_Protection""; product:""VPN-1 & FireWall-1""; protection_type:""geo_protection""; proto:""6""; s_port:""54903""; service:""465""; src:""162.243.147.25""; src_country:""USA""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:35"
"UNKNOWN","Checkpoint Next Generation Firewall Event","162.243.147.25","Drop","eth5","162.243.147.25","54903","10.83.152.36","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.52","465","TCP","3","0","6","","HISYSMC-FW2","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","SMTPS","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Local","","","San Francisco","United States","37.7308","-122.3838","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1fc,0x5,0x898530a,0x3fffcb4a}","b5a3ecd4-2f33-4be7-9ff0-a004a242a8d4","","2024-03-04 00:05:05","2024-03-04 00:01:00","2024-03-04 00:01:02","3588","2024-03-04 00:06:01","Mar  4 00:00:23 10.83.152.8 1 2024-03-03T18:29:35Z chkmgmt-hisysmc CheckPoint 52042 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth5""; logid:""0""; loguid:""{0x65e4c1fc,0x5,0x898530a,0x3fffcb4a}""; origin:""10.83.152.36""; originsicname:""CN=HISYSMC-FW2,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""3""; time:""1709490575""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.52""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Local""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""54903""; service:""465""; service_id:""SMTPS""; src:""162.243.147.25""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:35"
"UNKNOWN","Checkpoint Next Generation Firewall Event","162.243.147.25","Accept","eth5","162.243.147.25","54903","10.83.152.36","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.52","465","TCP","2","65536","6","geo_protection","HISYSMC-FW2","false","Connection Request","Network","Success","0","","","","","","","","","","San Francisco","United States","37.7308","-122.3838","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1fc,0x4,0x898530a,0x3fffcaad}","b5a9d504-fbe7-4ca5-a81d-6fddf6ddea32","","2024-03-04 00:05:13","2024-03-04 00:00:00","2024-03-04 00:01:07","3588","2024-03-04 00:06:01","Mar  3 23:59:13 10.83.152.8 1 2024-03-03T18:29:35Z chkmgmt-hisysmc CheckPoint 51885 - [action:""Accept""; flags:""393216""; ifdir:""inbound""; ifname:""eth5""; logid:""65536""; loguid:""{0x65e4c1fc,0x4,0x898530a,0x3fffcaad}""; origin:""10.83.152.36""; originsicname:""CN=HISYSMC-FW2,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""2""; time:""1709490575""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.52""; dst_country:""IND""; inspection_information:""Geo-location inbound enforcement""; inspection_profile:""Geo_settings_upgraded_from_Recommended_Protection""; product:""VPN-1 & FireWall-1""; protection_type:""geo_protection""; proto:""6""; s_port:""54903""; service:""465""; src:""162.243.147.25""; src_country:""USA""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:35"
"UNKNOWN","Checkpoint Next Generation Firewall Event","162.243.147.25","Drop","eth5","162.243.147.25","54903","10.83.152.36","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.52","465","TCP","3","0","6","","HISYSMC-FW2","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","SMTPS","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Local","","","San Francisco","United States","37.7308","-122.3838","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1fc,0x5,0x898530a,0x3fffcaad}","c58635bb-5dc8-4af3-9213-7ef5c99df432","","2024-03-04 00:05:22","2024-03-04 00:00:00","2024-03-04 00:01:17","3588","2024-03-04 00:06:01","Mar  3 23:59:13 10.83.152.8 1 2024-03-03T18:29:35Z chkmgmt-hisysmc CheckPoint 51885 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth5""; logid:""0""; loguid:""{0x65e4c1fc,0x5,0x898530a,0x3fffcaad}""; origin:""10.83.152.36""; originsicname:""CN=HISYSMC-FW2,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""3""; time:""1709490575""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.52""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Local""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""54903""; service:""465""; service_id:""SMTPS""; src:""162.243.147.25""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:35"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Accept","eth5","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.50","1935","TCP","79","65536","6","geo_protection","HISYSMC-FW1","false","Connection Request","Network","Success","0","","","","","","","","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ef,0x6,0x898530a,0x3fffcb4a}","4e36314c-c039-4a18-a632-b155878e5153","","2024-03-04 00:04:41","2024-03-04 00:01:00","2024-03-04 00:01:22","3588","2024-03-04 00:06:01","Mar  4 00:00:10 10.83.152.8 1 2024-03-03T18:29:34Z chkmgmt-hisysmc CheckPoint 52042 - [action:""Accept""; flags:""393216""; ifdir:""inbound""; ifname:""eth5""; logid:""65536""; loguid:""{0x65e4c1ef,0x6,0x898530a,0x3fffcb4a}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""79""; time:""1709490574""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.50""; dst_country:""IND""; inspection_information:""Geo-location inbound enforcement""; inspection_profile:""Geo_settings_upgraded_from_Recommended_Protection""; product:""VPN-1 & FireWall-1""; protection_type:""geo_protection""; proto:""6""; s_port:""29011""; service:""1935""; src:""207.90.244.10""; src_country:""USA""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:34"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Drop","eth5","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.50","1935","TCP","80","0","6","","HISYSMC-FW1","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","All_Port_TCP","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Local","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ee,0x1f,0x898530a,0x3fffcaad}","677071fe-761b-4e26-a541-67f9bcd20893","","2024-03-04 00:04:52","2024-03-03 23:58:00","2024-03-04 00:00:01","3588","2024-03-04 00:06:01","Mar  3 23:58:59 10.83.152.8 1 2024-03-03T18:29:34Z chkmgmt-hisysmc CheckPoint 51885 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth5""; logid:""0""; loguid:""{0x65e4c1ee,0x1f,0x898530a,0x3fffcaad}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""80""; time:""1709490574""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.50""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Local""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""29011""; service:""1935""; service_id:""All_Port_TCP""; src:""207.90.244.10""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:34"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Accept","eth5","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.50","1935","TCP","79","65536","6","geo_protection","HISYSMC-FW1","false","Connection Request","Network","Success","0","","","","","","","","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ee,0x1e,0x898530a,0x3fffcaad}","92fb7cb4-f50e-4790-81de-5699e6bad9a0","","2024-03-04 00:04:09","2024-03-03 23:58:00","2024-03-04 00:00:34","3588","2024-03-04 00:06:01","Mar  3 23:58:59 10.83.152.8 1 2024-03-03T18:29:34Z chkmgmt-hisysmc CheckPoint 51885 - [action:""Accept""; flags:""393216""; ifdir:""inbound""; ifname:""eth5""; logid:""65536""; loguid:""{0x65e4c1ee,0x1e,0x898530a,0x3fffcaad}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""79""; time:""1709490574""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.50""; dst_country:""IND""; inspection_information:""Geo-location inbound enforcement""; inspection_profile:""Geo_settings_upgraded_from_Recommended_Protection""; product:""VPN-1 & FireWall-1""; protection_type:""geo_protection""; proto:""6""; s_port:""29011""; service:""1935""; src:""207.90.244.10""; src_country:""USA""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:34"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Drop","eth5","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","122.186.40.50","1935","TCP","80","0","6","","HISYSMC-FW1","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","All_Port_TCP","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Local","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ef,0x7,0x898530a,0x3fffcb4a}","a375779d-59aa-4e0a-bb98-f4414a2dd82c","","2024-03-04 00:04:38","2024-03-04 00:01:00","2024-03-04 00:01:03","3588","2024-03-04 00:06:01","Mar  4 00:00:10 10.83.152.8 1 2024-03-03T18:29:34Z chkmgmt-hisysmc CheckPoint 52042 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth5""; logid:""0""; loguid:""{0x65e4c1ef,0x7,0x898530a,0x3fffcb4a}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""80""; time:""1709490574""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""122.186.40.50""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Local""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""29011""; service:""1935""; service_id:""All_Port_TCP""; src:""207.90.244.10""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:34"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Drop","eth2","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","220.227.107.97","1935","TCP","18","0","6","","HISYSMC-FW1","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","All_Port_TCP","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Internal","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ed,0x1b,0x898530a,0x3fffcb4a}","2fca94c7-7219-45dd-b90c-01943774d2e8","","2024-03-04 00:04:15","2024-03-04 00:01:00","2024-03-04 00:01:24","3588","2024-03-04 00:06:01","Mar  4 00:00:08 10.83.152.8 1 2024-03-03T18:29:33Z chkmgmt-hisysmc CheckPoint 52042 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth2""; logid:""0""; loguid:""{0x65e4c1ed,0x1b,0x898530a,0x3fffcb4a}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""18""; time:""1709490573""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""220.227.107.97""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Internal""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""29011""; service:""1935""; service_id:""All_Port_TCP""; src:""207.90.244.10""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:33"
"UNKNOWN","Checkpoint Next Generation Firewall Event","207.90.244.10","Drop","eth2","207.90.244.10","29011","10.83.152.35","chkmgmt-hisysmc","4","HSI_Checkpont_firewall","Standard","inbound","VPN-1 & FireWall-1","HSI_Checkpont_firewall","Check Point Next Generation Firewall","220.227.107.97","1935","TCP","18","0","6","","HISYSMC-FW1","false","Packet Drop","Network","Success","0","Block-IP Policy","Network","All_Port_TCP","Drop","cc708a7f-d361-49e8-bd65-4f0fea8f6852","External","Internal","","","","United States","37.751","-97.822","North America","ALERT","1755","Hitachi Malicious IP detection_HSI","Activity from malicious address","Activityip","Medium","Hitachi Systems India Pvt Ltd","{0x65e4c1ec,0x1b,0x898530a,0x3fffcaad}","44606f6b-841b-443d-8554-9172f23270c6","","2024-03-04 00:04:44","2024-03-03 23:58:00","2024-03-04 00:00:36","3588","2024-03-04 00:06:01","Mar  3 23:58:57 10.83.152.8 1 2024-03-03T18:29:33Z chkmgmt-hisysmc CheckPoint 51885 - [action:""Drop""; flags:""400644""; ifdir:""inbound""; ifname:""eth2""; logid:""0""; loguid:""{0x65e4c1ec,0x1b,0x898530a,0x3fffcaad}""; origin:""10.83.152.35""; originsicname:""CN=HISYSMC-FW1,O=chkmgmt-hisysmc.microclinic.in.ynni43""; sequencenum:""18""; time:""1709490573""; version:""5""; __policy_id_tag:""product=VPN-1 & FireWall-1[db_tag={1E53ABA2-E497-2049-8566-3F2EB71B4FD5};mgmt=chkmgmt-hisysmc;date=1709376413;policy_name=Standard\]""; dst:""220.227.107.97""; inzone:""External""; layer_name:""Network""; layer_uuid:""7991c42d-bf80-4c11-b6a8-bcc28df4b28f""; match_id:""1""; parent_rule:""0""; rule_action:""Drop""; rule_name:""Block-IP Policy""; rule_uid:""cc708a7f-d361-49e8-bd65-4f0fea8f6852""; outzone:""Internal""; product:""VPN-1 & FireWall-1""; proto:""6""; s_port:""29011""; service:""1935""; service_id:""All_Port_TCP""; src:""207.90.244.10""]","10","3","23","2024","1","Evening","63","3","2024-03-03 23:59:33"
